Ville;Corps;Activité;Produit;Variété;Année;Indice
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2009;92.2
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2010;92.4
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2011;90.9
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2012;91.2
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2013;91.9
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2014;93.1
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2015;93.6
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2016;96.6
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2017;97.0
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2018;97.0
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2019;97.2
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2020;93.5
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2021;97.8
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2022;104.4
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2005;100.0
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2006;101.3
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2007;102.6
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2008;91.9
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2009;92.2
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2010;92.4
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2011;90.9
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2012;91.2
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2013;91.9
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2014;93.1
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2015;93.6
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2016;96.6
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2017;97.0
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2018;97.0
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2019;97.2
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2020;93.5
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2021;97.8
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Baignoire;Tôle ou PVC (u);2022;104.4
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2005;100.0
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2006;100.4
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2007;101.0
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2008;111.7
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2009;112.0
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2010;112.4
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2011;115.3
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2012;115.6
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2013;116.2
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2014;117.8
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2015;118.3
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2016;120.7
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2017;119.2
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2018;120.1
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2019;120.1
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2020;118.1
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2021;125.6
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Bidet;Bidet;2022;134.7
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2005;100.0
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2006;100.4
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2007;101.0
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2008;111.7
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2009;112.0
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2010;112.4
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2011;115.3
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2012;115.6
