Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Boujdour;Appartement économique;GT;2010;1537;154
Boujdour;Appartement économique;GT;2011;1580;158
Boujdour;Appartement économique;GT;2012;1622;162
Boujdour;Appartement économique;GT;2013;1670;167
Boujdour;Appartement économique;GT;2014;1698;170
Boujdour;Appartement économique;GT;2015;1716;171
Boujdour;Appartement économique;GT;2016;1737;174
Boujdour;Appartement économique;GT;2017;1760;176
Boujdour;Appartement économique;GT;2018;1778;178
Boujdour;Appartement économique;GT;2019;1879;188
Boujdour;Appartement économique;GT;2020;1879;188
Boujdour;Appartement économique;GT;2021;1922;192
Boujdour;Appartement économique;GT;2022;1966;196
Boujdour;Appartement économique;MT;2001;894;100
Boujdour;Appartement économique;MT;2002;964;108
Boujdour;Appartement économique;MT;2003;1015;114
Boujdour;Appartement économique;MT;2004;1067;119
Boujdour;Appartement économique;MT;2005;1119;125
Boujdour;Appartement économique;MT;2006;1170;131
Boujdour;Appartement économique;MT;2007;1222;137
Boujdour;Appartement économique;MT;2008;1273;142
Boujdour;Appartement économique;MT;2009;1325;148
Boujdour;Appartement économique;MT;2010;1377;154
Boujdour;Appartement économique;MT;2011;1429;160
Boujdour;Appartement économique;MT;2012;1515;169
Boujdour;Appartement économique;MT;2013;1551;174
Boujdour;Appartement économique;MT;2014;1615;181
Boujdour;Appartement économique;MT;2015;1651;185
Boujdour;Appartement économique;MT;2016;1679;188
Boujdour;Appartement économique;MT;2017;1716;192
Boujdour;Appartement économique;MT;2018;1740;195
Boujdour;Appartement économique;MT;2019;1779;199
Boujdour;Appartement économique;MT;2020;1751;196
Boujdour;Appartement économique;MT;2021;1787;200
Boujdour;Appartement économique;MT;2022;1856;208
Boujdour;Appartement économique;PT;2001;550;100
Boujdour;Appartement économique;PT;2002;575;104
Boujdour;Appartement économique;PT;2003;629;114
Boujdour;Appartement économique;PT;2004;684;124
Boujdour;Appartement économique;PT;2005;739;134
Boujdour;Appartement économique;PT;2006;783;142
Boujdour;Appartement économique;PT;2007;818;149
